property_id,title,price,bedrooms,bathrooms,area_m2,property_type,status,updated_at,created_at
TLSiaEcIry8msJN2wPOQ,"Loft em Curitiba, no bairro Alto da Rua XV - Referência: 714 - Cosmo Hype Living",549900.0,1,2,34.56,apartment,active,2025-10-01T21:52:12.058588+00:00,2025-10-01T21:52:11.969701+00:00
TI8wJZkbHHWt3FocA3gh,"Cobertura Duplex em Curitiba, no bairro Mercês - Referência: 403 - Porto Alto",2901866.93,3,4,183.09,penthouse,active,2025-10-01T21:52:11.897097+00:00,2025-10-01T21:52:11.8165+00:00
THkPzZLD87HFjbc6ANQN,"Garden em Curitiba, no bairro Prado Velho - Referência: 103 1 - Bliss Campus",590610.57,3,2,75.36,garden,active,2025-10-01T21:52:11.760272+00:00,2025-10-01T21:52:11.672264+00:00
TGb4K6E3pFhXjhO78Hdy,"Garden em Curitiba, no bairro Portão - Referência: 1603 - Plus Portão",525518.27,1,1,62.86,garden,active,2025-10-01T21:52:11.624259+00:00,2025-10-01T21:52:11.526956+00:00
TAldvPNerIATen53wge6,Zenith,3068000.0,3,4,257.85,apartment,active,2025-10-01T21:52:11.462952+00:00,2025-10-01T21:52:11.349307+00:00
T4UC3pQ45FkPNQWhet6Q,"Cobertura Duplex em Curitiba, no bairro Portão - Referência: 703 - Cravo Casa Nativa",1489900.0,2,3,128.33,house,active,2025-10-01T21:52:11.276981+00:00,2025-10-01T21:52:11.171341+00:00
T3PapSPegKTWk5D86TEg,"Apartamento em Curitiba, no bairro Novo Mundo - Referência: 103 - Stenzo",565675.0,2,2,66.55,apartment,active,2025-10-01T21:52:11.090529+00:00,2025-10-01T21:52:10.982213+00:00
Sz8tlONdbYz3GDejsJOk,"Casa em Condomínio em Curitiba, no bairro Ecoville - Referência: 34 - Atmos Ecoville",2532264.26,3,4,202.55,house,active,2025-10-01T21:52:10.845682+00:00,2025-10-01T21:52:10.765564+00:00
Sx8xT2T2jIvpwNthlsl0,"Sobrado com 3 dormitórios à venda, 226 m² por R$ 750.000 - Campo Comprido - Curitiba/PR",750000.0,3,,226.88,apartment,active,2025-10-01T21:52:10.701298+00:00,2025-10-01T21:52:10.604273+00:00
SuaZBs76w1rZxa488cjY,"Apartamento em Curitiba, no bairro Juvevê - Referência: 204 - Galeria Hype Casa Nativa",948900.0,3,3,74.2,apartment,active,2025-10-01T21:52:10.531915+00:00,2025-10-01T21:52:10.408253+00:00
Sse3H8jE6xll7jbhpCvi,"Apartamento em Curitiba, no bairro Água Verde - Referência: 503 - Lemme",3802427.26,3,5,189.13,apartment,active,2025-10-01T21:52:10.332826+00:00,2025-10-01T21:52:10.229345+00:00
SriydBJJ62zL91QvQxqY,"Garden em Curitiba, no bairro Bigorrilho - Referência: 202 - SoHo 2525 Champagnat",2299000.0,3,3,183.62,garden,active,2025-10-01T21:52:10.164881+00:00,2025-10-01T21:52:10.084101+00:00
SrhryddNF1UNyBE0oZWL,"Cobertura Duplex em Curitiba, no bairro Tingui - Referência: 504 - Joy City Habitat",873900.0,3,3,110.56,penthouse,active,2025-10-01T21:52:10.011382+00:00,2025-10-01T21:52:09.906864+00:00
SpYLiAPiygH9nFyvhPMd,"Apartamento em Curitiba, no bairro Bigorrilho - Referência: 504 - Mytá",2728836.35,2,3,128.12,apartment,active,2025-10-01T21:52:09.842606+00:00,2025-10-01T21:52:09.753949+00:00
